KK227              13 56 10.1 +40 18 12  2.06 42     0.00 -12.5 25.3  7.97                   -0.6 NGC5055         -0.4 -0.63
ESO384-016         13 57 01.6 -35 20 02  1.83 53   3 0.00 -13.5 24.1  7.83  6.32   6.70  350  0.4 NGC5236          0.5  1.62
BootesIII          13 57 07.4 +26 46 30  0.77 64     0.00  -5.9 29.9  5.29               219  3.6 Milky Way        3.6  1.74
UGC08882           13 57 14.6 +54 06 03  2.58 49     0.00 -13.9 24.5  7.67               482  0.0 MESSIER101       0.3  1.60
BootesII           13 58 00.0 +12 50 00  0.08 51     0.00  -1.9 29.0  3.70       < 1.62 -156  3.8 Milky Way        3.8  1.74
BootesI            14 00 00.0 +14 30 00  0.38 64     0.00  -5.5 28.7  5.15       < 2.01   69  3.2 Milky Way        3.2  1.74
NGC5398            14 01 22.2 -33 03 52  8.65 60  49 0.07 -17.1 23.9  9.00  9.38   8.46 1017 -1.6 NGC4594         -1.2
MESSIER101         14 03 12.8 +54 21 02 65.20 22 171 0.05 -21.1 24.3 10.85 11.35   9.91  378  0.4 NGC5474          0.5  0.19
NGC5408            14 03 21.5 -41 22 35  4.06 87  30 0.00 -16.5 22.9  8.49  8.64   8.39  281 -0.2 NGC5236          0.2 -1.03
NGC5474            14 05 02.1 +53 39 47 10.09 26  34 0.00 -17.9 23.5  9.23  9.12   9.04  424  2.0 MESSIER101       2.0  1.60
NGC5477            14 05 33.1 +54 27 39  4.57 46  31 0.00 -15.3 24.3  8.37  8.71   8.71  451  1.4 MESSIER101       1.4  1.61
KK230              14 07 10.7 +35 03 37  0.47 38   4 0.00  -9.2 25.5  6.15  5.96   6.32  127 -1.3 MESSIER081      -0.8 -1.07
CIRCINUS           14 13 09.3 -65 20 21 20.28 69 121 0.46 -20.7 22.2 10.60 10.54   9.30  189 -0.6 NGC4945         -0.3
KKH87              14 15 09.4 +57 05 15  2.28 90  14 0.00 -13.2 24.9  7.55  7.71   7.79  473  0.9 MESSIER101       1.0  1.61
DDO187             14 15 56.5 +23 03 19  1.10 46  13 0.00 -12.4 24.1  7.02  7.33   7.06  180 -1.4 Milky Way       -0.8 -2.19
KKR08              14 19 14.8 +03 07 26  1.35 41     0.00 -11.7 25.3  7.62       < 7.02      -1.6 NGC4594         -1.3
NGC5585            14 19 48.3 +56 43 49  9.74 51  81 0.16 -17.8 23.5  9.03  9.87   8.82  457 -0.8 MESSIER101      -0.5
DDO190             14 24 43.5 +44 31 33  1.92 30  36 0.00 -14.1 23.6  7.90  8.47   7.50  263 -1.2 MESSIER081      -0.7 -0.85
PGC051659          14 28 03.7 -46 18 06  2.11 90  19 0.00 -13.1 24.8  7.50  7.94   7.78  177  0.3 NGC5128          0.5  1.92
Centaurus A-dE5    14 30 05.0 -33 28 45  1.44 64     0.00 -11.7 25.4  6.92       < 6.16      -1.8 NGC4594         -1.4
ESO222-010         14 35 03.0 -49 25 18  0.91 81  19 0.00 -13.6 22.5  7.69  7.58   7.78  403 -1.2 NGC5128         -0.6 -0.02
DDO194             14 35 24.6 +57 15 24  4.83 71  40 0.01 -15.1 24.7  8.37  8.94   8.11  381 -0.1 MESSIER101       0.0  1.60
MRK0475            14 39 05.4 +36 48 22  1.19 47  14 0.00 -13.5 23.2  7.64  7.44   6.48  677 -1.2 NGC5055         -0.8
HIPASS J1441-62    14 41 42.7 -62 46 02  1.79 57  26 0.00 -14.1 23.5  7.90  8.15   7.54  440 -1.2 CIRCINUS        -0.8
ESO272-025         14 43 25.5 -44 42 19  3.06 72  17 0.00 -14.8 24.0  7.97  8.04   7.09  429 -1.1 NGC5236         -0.6 -0.03
ESO273-014         14 58 30.3 -47 41 55 14.39 44 118 0.17 -18.6 23.5  9.44 10.36   9.61  851 -2.0 NGC5643         -1.6
ESO223-009         15 01 08.5 -48 17 33  6.30 26  61 0.02 -16.4 23.9  9.20  9.43   8.81  389 -1.5 NGC5236         -1.0 -1.07
UGC09660           15 01 09.3 +44 41 53  2.56 74  30 0.00 -15.1 23.3  8.36  8.42   7.90  745 -0.8 MESSIER101      -0.5
UMin               15 09 11.3 +67 12 52  0.53 90     0.00  -7.1 27.8  5.80       < 4.52  -52  3.2 Milky Way        3.2  1.74
ESO274-001         15 14 13.5 -46 48 45 14.06 90  74 0.71 -17.6 24.5  9.01  9.96   8.41  337 -0.4 NGC5128         -0.1 -1.23
HIPASS J1526-51    15 26 22.9 -51 10 31                    -9.3                    7.67  415 -1.3 NGC5128         -0.7 -0.02
UGC09992           15 41 47.8 +67 15 15  3.58 61  23 0.00 -14.1 25.0  7.88  8.35   8.02  638 -1.2 MESSIER101      -0.9
KKR25              16 13 47.6 +54 22 16  0.59 63     0.00  -9.4 25.8  6.71       < 4.91  128 -1.0 MESSIER031      -0.6 -2.22
ESO137-018         16 20 59.3 -60 29 15  7.76 73  63 0.24 -18.1 22.7  9.62  9.55   8.66  418 -1.6 CIRCINUS        -1.1
Hercules           16 31 02.0 +12 47 30  0.60 90     0.00  -6.1 29.1  5.39       < 2.72  141  2.1 Milky Way        2.2  1.74
KDG235             17 00 25.3 +70 17 24  4.07 40  12 0.00 -13.5 25.9  7.64  7.85   7.87  687 -1.0 UGC10736        -0.9 -0.41
Draco              17 20 01.4 +57 54 34  0.84 59     0.00  -8.7 27.2  6.45       < 2.19  -51  2.9 Milky Way        2.9  1.74
Milky Way          17 45 40.0 -29 00 28                   -19.1                    9.47  -65  2.8 Sag dSph         2.9  1.55
IC4662             17 47 06.3 -64 38 25  2.09 65  41 0.02 -15.5 22.4  8.69  8.62   8.20  139 -1.3 NGC5128         -0.7
NGC6503            17 49 27.6 +70 08 41 10.72 73  91 0.43 -18.3 23.1  9.86 10.01   8.71  309 -1.1 NGC6946         -0.8 -1.69
IC4710             18 28 38.0 -66 58 56  9.23 39  29 0.00 -17.4 23.8  9.30  8.96   8.66  580  0.1 NGC6744          0.2  1.68
NGC6684            18 48 57.9 -65 10 24 10.45 55  49 0.05 -18.7 22.7 10.38  9.47   7.41  720  0.6 NGC6744          0.6  1.55
Sag dSph           18 55 03.1 -30 28 42  3.08 90     0.00 -12.7 26.1  8.02       < 1.99  159  5.3 Milky Way        5.3  1.74
ESO104-022         18 55 41.2 -64 48 39  3.07 55  17 0.00 -13.9 24.9  7.80  8.03   8.28  654 -0.8 NGC6744         -0.7 -1.05
[KK2000] 70        19 06 58.9 -63 57 57  1.37 39     0.00 -12.1 24.9  7.09                    3.8 NGC6744          3.8  1.69
UGC11411           19 08 42.3 +70 17 02  1.20 52     0.00 -13.3 23.4  7.56               345 -0.8 NGC6503         -0.5  0.60
[KK2000] 71        19 08 44.0 -63 43 53  4.41 90     0.00 -14.7 24.9  8.13                    4.7 NGC6744          4.7  1.69
NGC6744            19 09 45.9 -63 51 28 52.75 51 191 0.33 -21.0 24.0 10.79 11.35  10.19  706  2.0 [KK2000] 71      2.0  1.17
ESO104-044         19 11 23.1 -64 13 09  4.37 58  36 0.00 -14.8 24.7  8.17  8.81   8.33  614  3.5 NGC6744          3.5  1.69
[KK2000] 72        19 12 22.9 -63 51 22  1.36 47     0.00 -11.9 25.1  7.00                    4.0 NGC6744          4.0  1.69
NGC6789            19 16 41.8 +63 58 22  1.58 45     0.00 -14.3 23.0  7.96       < 6.49  145 -1.3 MESSIER081      -0.8
Sag dIr            19 29 59.0 -17 40 41  0.97 50   9 0.00 -11.5 24.8  6.51  6.98   6.94   21 -0.5 Milky Way       -0.2 -0.89
IC4870             19 37 37.6 -65 48 43  4.01 66  37 0.00 -15.3 24.0  8.21  8.80   8.49  740 -0.3 NGC6744         -0.2 -1.46
NGC6822            19 44 57.7 -14 48 11  3.44 33  64 0.03 -15.2 23.8  8.34  9.22   8.15   64  0.5 Milky Way        0.6  1.73
LV J1952+1428      19 52 11.8 +14 28 24  0.79 24  17 0.00 -13.5 22.3  7.64  7.44   7.05  521 -2.4 NGC6946         -1.9
KK246              20 03 57.4 -31 40 54  2.65 87  22 0.00 -13.7 24.7  7.82  8.17   8.07  478 -2.2 NGC6744         -1.8
IC4951             20 09 31.8 -61 51 02  8.94 83  53 0.25 -16.4 24.7  8.92  9.47   8.75  701 -1.0 NGC6744         -0.8 -0.66
UGC11583           20 30 15.3 +60 26 25  4.71 90  42 0.04 -14.3 25.4  7.98  8.98   8.27  429  3.3 NGC6946          3.5  1.54
KK251              20 30 32.0 +60 21 13  3.48 72  23 0.00 -13.6 25.4  7.70  8.32   8.05  433  3.5 NGC6946          3.6  1.54
KK252              20 31 32.6 +60 48 48  2.33  9  45 0.00 -14.1 24.1  7.89  8.73   7.04  441  3.1 NGC6946          3.1  1.54
NGC6946            20 34 51.1 +60 09 15 34.68 32 138 0.10 -20.8 23.2 10.76 10.89   9.88  355  0.6 UGC11583         1.0  0.41
KKR55              20 45 20.8 +60 24 40  1.92 55  17 0.00 -14.8 22.9  8.17  7.79   7.63  337  2.4 NGC6946          2.4  1.54
DDO210             20 46 51.8 -12 50 53  0.73 72   3 0.00 -11.1 24.6  6.75  5.77   6.42   11 -0.3 Milky Way        0.0  1.35
KKR56              20 48 24.1 +58 37 06  2.35 58   3 0.00 -14.4 23.8  8.01  6.38   7.64  264  1.7 NGC6946          1.7  1.54
Cepheus1           20 51 09.7 +56 53 24 12.32 61  45 0.04 -17.6 24.2  9.39  9.46   9.05  342  0.9 NGC6946          1.0  1.52
IC5052             20 52 06.2 -69 12 14 13.81 90  76 0.63 -18.1 23.9  9.35  9.97   8.89  440 -1.5 NGC6744         -1.1
KKR59              21 03 24.2 +57 17 14  8.87 53  34 0.00 -17.0 24.0  9.16  9.07         307  1.7 KKR60            1.8  1.53
KKR60              21 05 53.0 +57 12 19  3.22 52     0.00 -15.4 23.4  8.42               296  2.5 KKR59            2.5  1.53
Segue 3            21 21 31.0 +19 07 02  0.01 58     0.00  -0.6 24.9  3.19                    5.0 Milky Way        5.0  1.74
NGC7090            21 36 28.6 -54 33 26 19.03 89  91 0.69 -18.6 24.1  9.73 10.26   8.96  784 -1.6 NGC6744         -1.3
IC5152             22 02 41.9 -51 17 43  4.07 60  43 0.02 -15.6 23.8  8.72  8.94   8.02   73 -1.3 NGC0253         -0.7  0.24
IC5201             22 20 57.4 -46 02 03 21.85 64  95 0.33 -18.8 24.2 10.01 10.36   9.23  893  0.0 AM2220-460       0.0 -1.64
ESO238-005         22 22 30.1 -48 24 18  6.98 57  43 0.02 -14.8 25.7  8.19  9.18   8.33  671 -1.0 IC5201          -0.9
AM2220-460         22 23 43.0 -45 52 56  2.30 27  46 0.01 -13.4 24.7  7.62  8.76   7.45  822  2.4 IC5201           2.4  0.76
And XXVIII         22 32 41.2 +31 12 58  0.34 56     0.00  -7.7 26.3  6.04                    1.1 MESSIER031       1.2  1.74
KK258              22 40 43.9 -30 47 59  0.98 90     0.00 -10.3 26.0  7.06       < 5.65      -1.1 NGC0253         -0.5  0.31
Tucana             22 41 49.0 -64 25 12  0.73 90     0.00  -9.2 26.5  6.62       < 4.18   73 -0.2 Milky Way        0.0  1.35
PiscesII           22 58 31.0 +05 57 09  0.10 59     0.00  -4.4 27.0  4.70                    1.8 Milky Way        1.9  1.74
NGC7462            23 02 47.2 -40 50 06 15.20 90  80 0.61 -18.2 24.1  9.48 10.06   8.81 1056 -1.9 IC5201          -1.6
ApplesI            23 15 03.3 -42 32 22  0.24 54     0.00  -8.3 25.0  6.25               661 -1.5 NGC7713         -1.0
NGC7640            23 22 06.6 +40 50 44 24.98 90 107 0.80 -19.2 24.1  9.71 10.52   9.51  668  0.9 UGC12588         0.9 -0.48
UGC12588           23 24 42.4 +41 20 53  4.87 35  68 0.05 -16.1 23.7  8.78  9.41   8.16  723  1.8 NGC7640          1.8  0.46
UGCA438            23 26 27.5 -32 23 26  1.36 41  19 0.00 -12.9 24.1  7.57  7.74   7.23   99 -0.4 NGC0055         -0.2  0.55
Cas dSph           23 26 31.8 +50 40 32  0.89 36     0.00 -11.7 24.4  7.62       < 5.60   -5  1.7 MESSIER031       1.8  1.74
ESO347-017         23 26 56.1 -37 20 49  4.10 72  31 0.00 -14.8 24.6  8.37  8.67   8.15  701  0.1 IC5332           0.3  0.59
Pegasus            23 28 34.1 +14 44 48  1.26 68   3 0.00 -11.5 25.3  7.13  6.03   6.53   60  0.9 MESSIER031       1.0  1.74
DDO217             23 29 58.7 +40 59 25 16.80 35  88 0.08 -17.8 24.7  9.47 10.18   9.01  720 -2.0 NGC7640         -1.5
IC5332             23 34 27.5 -36 06 06 19.05 30  89 0.05 -18.6 24.1  9.62 10.24   9.18  716  0.2 NGC7713          0.3  0.22
LV J2335-3713      23 35 04.1 -37 13 14  1.30 65   9 0.00 -12.9 24.0  7.41  7.06   7.21  623  1.4 NGC7713          1.6  0.60
NGC7713            23 36 15.0 -37 56 20 15.03 68  86 0.34 -18.4 23.8  9.43 10.11   8.74  696  0.4 IC5332           0.5  0.39
UGC12713           23 38 14.5 +30 42 33  6.49 63  46 0.06 -16.0 24.4  8.90  9.21   8.42  574 -1.7 NGC7331         -1.4
UGCA442            23 43 46.0 -31 57 33  7.35 90  41 0.04 -14.7 26.0  8.01  9.16   8.20  300 -0.1 NGC7793          0.2  0.51
KKH98              23 45 34.0 +38 43 04  0.82 67   3 0.00 -10.8 25.1  6.58  5.85   6.45  156 -0.9 Maffei2         -0.4
ESO348-009         23 49 23.4 -37 46 25  7.45 90  37 0.00 -15.6 25.1  8.47  9.07   8.64  647 -2.4 NGC7424         -1.9
Peg dSph           23 51 46.4 +24 35 10  1.00 73     0.00 -10.7 25.7  7.22       < 4.21  -84  1.4 MESSIER031       1.5  1.74
ESO149-003         23 52 02.8 -52 34 39  4.27 90  20 0.00 -13.9 25.6  7.80  8.28   7.75  498 -1.4 NGC0253         -1.2
And XXI            23 54 47.7 +42 28 15  1.53 45     0.00  -9.3 28.0  6.66               -73  2.2 MESSIER031       2.2  1.74
NGC7793            23 57 49.4 -32 35 24 16.09 48 101 0.18 -18.5 23.9  9.76 10.28   8.77  250  0.2 NGC0253          0.2  1.78
And XXIX           23 58 55.6 +30 45 20  0.59 60     0.00  -7.5 27.7  5.96                    2.0 MESSIER031       2.0  1.74
